resolution	pair	gene	n_samples_both_typed	allele_concordance_pct	genotype_concordance_pct
field2	t1k_vs_immu_new	HLA-B	97	82.5	64.9
field2	t1k_vs_immu_new	HLA-C	172	86.0	72.7
field2	t1k_vs_immu_new	HLA-DMA	321	57.5	15.0
field2	t1k_vs_immu_new	HLA-DMB	343	70.3	41.1
field2	t1k_vs_immu_new	HLA-DOA	378	81.6	63.2
field2	t1k_vs_immu_new	HLA-DOB	334	70.1	40.7
field2	t1k_vs_immu_new	HLA-DPA1	366	69.5	39.1
field2	t1k_vs_immu_new	HLA-DPA2	238	61.8	23.5
field2	t1k_vs_immu_new	HLA-DPB1	300	66.2	51.7
field2	t1k_vs_immu_new	HLA-DPB2	382	68.6	42.1
field2	t1k_vs_immu_new	HLA-DQA1	207	66.4	35.3
field2	t1k_vs_immu_new	HLA-DQA2	355	75.4	50.7
field2	t1k_vs_immu_new	HLA-DQB1	161	75.2	51.6
field2	t1k_vs_immu_new	HLA-DQB2	330	59.7	31.2
field2	t1k_vs_immu_new	HLA-DRA	381	71.7	44.9
field2	t1k_vs_immu_new	HLA-DRB1	94	52.7	8.5
field2	t1k_vs_immu_new	HLA-DRB5	300	19.0	0.0
field2	t1k_vs_immu_new	HLA-E	272	73.5	47.1
field2	t1k_vs_immu_new	HLA-F	386	74.1	48.4
field2	t1k_vs_immu_new	HLA-G	371	82.1	64.4
field2	t1k_vs_immu_new	HLA-H	352	33.2	0.6
field2	t1k_vs_immu_new	HLA-J	312	50.0	0.0
field2	t1k_vs_immu_new	HLA-K	285	37.0	0.0
field2	t1k_vs_immu_new	HLA-L	379	76.6	53.3
field2	t1k_vs_immu_new	HLA-N	389	50.0	0.0
field2	t1k_vs_immu_new	HLA-P	278	64.9	29.9
field2	t1k_vs_immu_new	HLA-R	38	50.0	0.0
field2	t1k_vs_immu_new	HLA-S	379	74.9	50.1
field2	t1k_vs_immu_new	HLA-T	349	40.7	0.0
field2	t1k_vs_immu_new	HLA-U	322	31.4	0.0
field2	t1k_vs_immu_new	HLA-V	364	50.0	0.0
field2	t1k_vs_immu_new	HLA-W	187	47.6	0.0
field2	t1k_vs_immu_new	HLA-Y	54	50.0	0.0
field2	t1k_vs_immu_new	MICA	185	60.3	32.4
field2	t1k_vs_immu_new	MICB	352	82.4	72.4
field2	t1k_vs_immu_new	TAP1	341	50.1	9.1
field2	t1k_vs_immu_new	TAP2	333	73.1	57.7
field2	immu_old_vs_immu_new	HLA-A	156	99.0	98.1
field2	immu_old_vs_immu_new	HLA-B	97	100.0	100.0
field2	immu_old_vs_immu_new	HLA-C	172	99.4	98.8
field2	immu_old_vs_immu_new	HLA-DMA	321	99.8	99.7
field2	immu_old_vs_immu_new	HLA-DMB	343	99.7	99.4
field2	immu_old_vs_immu_new	HLA-DOA	378	100.0	100.0
field2	immu_old_vs_immu_new	HLA-DOB	334	99.6	99.1
field2	immu_old_vs_immu_new	HLA-DPA1	366	100.0	100.0
field2	immu_old_vs_immu_new	HLA-DPA2	238	75.4	50.8
field2	immu_old_vs_immu_new	HLA-DPB1	300	98.8	97.7
field2	immu_old_vs_immu_new	HLA-DPB2	382	90.2	80.4
field2	immu_old_vs_immu_new	HLA-DQA1	207	76.6	53.1
field2	immu_old_vs_immu_new	HLA-DQA2	355	98.0	96.1
field2	immu_old_vs_immu_new	HLA-DQB1	161	92.5	85.1
field2	immu_old_vs_immu_new	HLA-DQB2	330	95.9	91.8
field2	immu_old_vs_immu_new	HLA-DRA	381	98.4	96.9
field2	immu_old_vs_immu_new	HLA-DRB1	94	64.4	28.7
field2	immu_old_vs_immu_new	HLA-DRB5	361	89.5	78.9
field2	immu_old_vs_immu_new	HLA-E	272	100.0	100.0
field2	immu_old_vs_immu_new	HLA-F	386	99.9	99.7
field2	immu_old_vs_immu_new	HLA-G	371	99.3	98.7
field2	immu_old_vs_immu_new	HLA-H	352	83.7	67.3
field2	immu_old_vs_immu_new	HLA-J	312	85.7	71.5
field2	immu_old_vs_immu_new	HLA-K	285	79.8	59.6
field2	immu_old_vs_immu_new	HLA-L	379	97.9	95.8
field2	immu_old_vs_immu_new	HLA-N	389	100.0	100.0
field2	immu_old_vs_immu_new	HLA-P	278	82.7	65.5
field2	immu_old_vs_immu_new	HLA-S	379	96.7	93.4
field2	immu_old_vs_immu_new	HLA-T	349	83.5	67.0
field2	immu_old_vs_immu_new	HLA-U	322	82.1	64.3
field2	immu_old_vs_immu_new	HLA-V	364	86.0	72.0
field2	immu_old_vs_immu_new	HLA-W	187	99.7	99.5
field2	immu_old_vs_immu_new	HLA-Y	54	50.0	0.0
field2	immu_old_vs_immu_new	MICA	185	78.4	57.3
field2	immu_old_vs_immu_new	MICB	353	98.4	96.9
field2	immu_old_vs_immu_new	TAP1	341	91.6	83.3
field2	immu_old_vs_immu_new	TAP2	333	94.3	88.6
